name,raw_address,lat,lng,city,state,country,source_url,source_kind,price_band,photo_urls,tags,hours_text,phone,website,email,open_hours
Yakoyo Abula Joint - Surulere,107 Ogunlana Drive Surulere,6.4865,3.3540,Lagos,Lagos,Nigeria,https://ngex.com/bd/b/Yakoyo-Abula-Joint-Surulere-Lagos-Nigeria,web_search,₦₦ (₦1500-3000),,Amala|Abula|Nigerian|Buka,Mon-Sat 08:00-22:30,+234-803-279-1636,https://www.facebook.com/yakoyoabulajoint/,Yakoyoabulajoint107@gmail.com,
Yakoyo Abula Joint - Lekki,6 Otunba Adedoyin Ogungbe Crescent Lekki,6.4511,3.5439,Lagos,Lagos,Nigeria,https://ngex.com/bd/b/Yakoyo-Abula-Joint_2-Lekki-Lagos-Nigeria,web_search,₦₦ (₦1500-3000),,Amala|Abula|Nigerian|Buka,Mon-Sat 08:00-22:30,+234-904-732-0466,https://www.facebook.com/yakoyoabulajoint/,Yakoyoabulajoint107@gmail.com,
Olaiya Foods and Catering Services,109 Akerele Street Surulere,6.4967,3.3623,Lagos,Lagos,Nigeria,https://olaiyafoods.com/,official_website,₦₦ (₦1500-2500),,Amala|Abula|Nigerian|Buka|Traditional,Open 24 hours,+234-701-777-2273 / +234-802-836-4675 / +234-704-810-1214,https://olaiyafoods.com/,,
Amala Sky - Orchid Road,Plot 9 Block 13 Orchid Road Lekki,6.4434,3.5456,Lagos,Lagos,Nigeria,https://www.facebook.com/amalaskylagos/,social_media,₦₦ (₦2000-3500),,Amala|Abula|Nigerian|Modern,Open 24 hours,+234-807-777-6962 / +234-915-555-8922,https://www.amalasky.ng/,amalaskylagos@gmail.com,
Amala Sky - Osapa London,Addo Road Osapa London Lekki,6.4617,3.5802,Lagos,Lagos,Nigeria,https://www.instagram.com/amalaskylagos/,social_media,₦₦ (₦2000-3500),,Amala|Abula|Nigerian|Modern,Open 24 hours,+234-807-777-6962 / +234-915-555-8922,https://www.amalasky.ng/,amalaskylagos@gmail.com,
Mama Toyin Amala,47 Arolawun Street Onipanu,6.5348,3.3661,Lagos,Lagos,Nigeria,https://www.instagram.com/mamatoyinfood/,blog_review,₦ (₦1000-1500),,Amala|Traditional|Buka,Mon-Sat,,https://www.instagram.com/mamatoyinfood/,,
Iya Moria's Canteen,University of Lagos Akoka Yaba,6.5169,3.3886,Lagos,Lagos,Nigeria,https://foodieinlagos.com/finding-the-best-amala-spots-in-lagos/,blog_review,₦ (₦800-1500),,Amala|Abula|Student|Buka,,,,,
Olaoluwa Kitchen,34A Hakeem Balogun Street Agidingbi Ikeja,6.6047,3.3460,Lagos,Lagos,Nigeria,https://foodieinlagos.com/review-olaoluwa-kitchen/,blog_review,₦₦ (₦1500-2500),,Amala|Abula|Nigerian|Clean,Mon-Sat,+234-816-683-3336,https://www.instagram.com/olaoluwakitchen.ng/,,
Olasheu Canteen,16 Showonuola Street Agege,6.6165,3.3172,Lagos,Lagos,Nigeria,https://www.instagram.com/olasheufood/,social_media,₦ (₦1000-1800),,Amala|Buka|Nigerian,,,https://www.instagram.com/olasheufood/,,
Mama Bilikis,32 Ayodele Oke-Owo Street Soluyi Ifako Gbagada,6.5738,3.3874,Lagos,Lagos,Nigeria,https://foodieinlagos.com/amala-spots-in-lagos/,blog_review,₦ (₦800-1200),,Amala|Abula|Buka|Roadside,,,,,
White House Canteen,9 Chapel Street Sabo Yaba,6.5084,3.3826,Lagos,Lagos,Nigeria,https://www.eatdrinklagos.com/roll-call/2021/7/5/the-best-amala-spots-in-lagos-part-i,blog_review,₦₦ (₦1500-2500),,Amala|Popular|Traditional,,,,,
Nok by Alara,12A Akin Olugbade Street Victoria Island,6.4349,3.4182,Lagos,Lagos,Nigeria,https://foodieinlagos.com/review-nok-by-alara/,blog_review,₦₦₦₦ (₦8000-12000),,Amala|Upscale|Modern|African,12:00-22:00,+234-908-561-4815,https://www.nokbyalara.com/,,
Nest Lagos,12 Sir Samuel Manuwa Street Victoria Island 106104,6.4281,3.4200,Lagos,Lagos,Nigeria,https://www.instagram.com/nestlagos/,directory,₦₦₦ (₦5000-8000),,Restaurant|Modern|Continental,,,,,
Abeke Rooftop,6A Ogbunike Street Lekki Phase 1,6.4447,3.4650,Lagos,Lagos,Nigeria,https://foodieinlagos.com/abeke-rooftop-restaurant-review-lekki-amala-abula-lagos/,blog_review,₦₦₦₦ (₦12000-18000),,Amala|Upscale|Rooftop|Yoruba_Theme,12:00-22:00,,https://www.instagram.com/abekelekki/,,
Amala Place,Isheri Road Oke Afa Jakande Estate,6.5389,3.2836,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Canada Foods - Ebute Meta,Cemetery Street Ebute Meta,6.4867,3.3711,Lagos,Lagos,Nigeria,https://foodieinlagos.com/top-amala-spots-in-lagos/,blog_review,₦ (₦800-1200),,Amala|Buka|Popular,Mon-Sat,,,,,
Belgium Foods - Mile 2,Amuwo Odofin Mile 2 Estate,6.4418,3.3098,Lagos,Lagos,Nigeria,https://ofadaa.com/lagos/restaurants?term=Amala+Abula+Canteen,directory,₦ (₦800-1200),,Amala|Buka,,,,,
Belgium Foods - Okota,Okota,6.4704,3.2947,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1200),,Amala|Buka,,,,,
Belgium Foods - Festac,Festac Town,6.4637,3.2793,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1200),,Amala|Buka,,,,,
Belgium Foods - Satellite Town,Satellite Town,6.4558,3.2547,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1200),,Amala|Buka,,,,,
Iya Kausara,511 Road Festac Town,6.4649,3.2825,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Wow Abula Spot,32 Road Festac Town,6.4666,3.2813,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-1800),,Amala|Abula,,,,,
The Yellow Chili Restaurant and Bar,35 Joel Ogunnaike Street Ikeja GRA,6.5955,3.3652,Lagos,Lagos,Nigeria,,user_provided,₦₦₦ (₦4000-7000),,Restaurant|Bar|Continental,,,,,
Iya Sola Food Canteen,Adebiyi Street Igbobi,6.5287,3.3801,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Iya Toyin Food Restaurant,Off Banire Road 14 Ishaga Road Ojuelegba Surulere,6.4981,3.3584,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-1800),,Amala|Traditional,,,,,
Iya Eba,14 Berkeley Street Onikan Lagos Island,6.4438,3.4011,Lagos,Lagos,Nigeria,https://www.eatdrinklagos.com/roll-call/discovering-lagos-food-culture-story-of-iya-eba,blog_review,₦ (₦1000-2000),,Amala|Traditional|Historic|50_Years,Mon-Sat,,,,,
Amoke Oge - Shomolu,Shomolu,6.5404,3.3837,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-2000),,Amala|Chain|Nigerian,,,https://www.instagram.com/amokefoodsng1/,,
Amoke Oge - Bariga,Bariga,6.5284,3.3869,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-2000),,Amala|Chain|Nigerian,,,https://www.instagram.com/amokefoodsng1/,,
Amoke Oge - Lagos Island,Lagos Island,6.4541,3.3947,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-2000),,Amala|Chain|Nigerian,,,https://www.instagram.com/amokefoodsng1/,,
Amoke Oge - Surulere,Babs Animashuan Road Surulere,6.4934,3.3591,Lagos,Lagos,Nigeria,https://foodieinlagos.com/top-amala-spots-in-lagos/,blog_review,₦ (₦1000-2000),,Amala|Chain|Nigerian,Tue-Sun,,https://www.instagram.com/amokefoodsng1/,,
Amoke Oge - Ikoyi,Ikoyi,6.4541,3.4316,Lagos,Lagos,Nigeria,,user_provided,₦₦ (₦1500-2500),,Amala|Chain|Nigerian,,,https://www.instagram.com/amokefoodsng1/,,
Amala Taxi,Aguda Surulere,6.4828,3.3574,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Saudi Food,New Garage Bariga,6.5247,3.3892,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Abula Tawa,Lekki Phase 1,6.4457,3.4719,Lagos,Lagos,Nigeria,,user_provided,₦₦ (₦1500-2500),,Amala|Abula,,,,,
Iya Lati Alamala,Satellite Town Ori Ade LCDA,6.4590,3.2556,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Traditional,,,,,
Canada Villa,Oyingbo,6.4621,3.3804,Lagos,Lagos,Nigeria,,user_provided,₦ (₦800-1500),,Amala|Buka,,,,,
Iyan Aladuke Buka,Yaba,6.5074,3.3813,Lagos,Lagos,Nigeria,,user_provided,₦ (₦1000-1800),,Amala|Buka,,,,,
Iya Oyo's Canteen,Water Corporation Road opposite Landmark Tower Victoria Island,6.4270,3.4258,Lagos,Lagos,Nigeria,https://foodieinlagos.com/finding-the-best-amala-spots-in-lagos/,blog_review,₦₦ (₦1500-3500),,Amala|VI|Clean,,,,,
Amala Hajia,Onike Roundabout Yaba opposite Shawarma Plus,6.5113,3.3754,Lagos,Lagos,Nigeria,https://foodieinlagos.com/top-amala-spots-in-lagos/,blog_review,₦ (₦1200-2000),,Amala|Yaba,Mon-Sat 08:00-19:00,,https://www.instagram.com/amala_hajia/,,
Amala Canada,70 Cemetery Street Adekunle Yaba,6.4883,3.3688,Lagos,Lagos,Nigeria,https://foodieinlagos.com/top-amala-spots-in-lagos/,blog_review,₦ (₦800-1200),,Amala|Popular|Budget,,,,,
Mulika Amala,1 Agbelekale Street Mafoluku Oshodi,6.5341,3.3358,Lagos,Lagos,Nigeria,https://foodieinlagos.com/amala-spots-in-lagos/,blog_review,₦ (₦800-1500),,Amala|Oshodi,,,,,
Amala Shitta,Shitta Surulere,6.4948,3.3547,Lagos,Lagos,Nigeria,https://blog.fusion.ng/2024/09/20/top-5-places-to-try-amala-in-lagos/,blog_review,₦ (₦1000-1800),,Amala|Traditional|40_Years,,,https://www.instagram.com/amalashitta/,,
Rab Sonola,Ogba,6.6233,3.3428,Lagos,Lagos,Nigeria,https://www.eatdrinklagos.com/roll-call/2021/7/5/the-best-amala-spots-in-lagos-part-i,blog_review,₦ (₦1000-1800),,Amala|Buka,,,,,
Amala Yahoo,Ojota,6.5761,3.3723,Lagos,Lagos,Nigeria,https://www.eatdrinklagos.com/roll-call/2021/7/5/the-best-amala-spots-in-lagos-part-i,blog_review,₦ (₦1000-1800),,Amala|Traditional|Crowded|Popular,,,,,
